행정동코드,자치구,행정동,성별,연령대,총인구수,1인가구수,집 추정 위치 평일 총 체류시간 미추정 인구수,집 추정 위치 평일 총 체류시간,"집 추정 위치 평일 총 체류시간: 4분위수, 25%","집 추정 위치 평일 총 체류시간: 4분위수, 50%","집 추정 위치 평일 총 체류시간: 4분위수, 75%",집 추정 위치 휴일 총 체류시간 미추정 인구수,집 추정 위치 휴일 총 체류시간,"집 추정 위치 휴일 총 체류시간: 4분위수, 25%","집 추정 위치 휴일 총 체류시간: 4분위수, 50%","집 추정 위치 휴일 총 체류시간: 4분위수, 75%",배달 서비스 사용 미추정 인구수,배달 서비스 사용일수,"배달 서비스 사용일수: 4분위수, 25%","배달 서비스 사용일수: 4분위수, 50%","배달 서비스 사용일수: 4분위수, 75%",배달_브랜드 서비스 사용 미추정 인구수,배달_브랜드 서비스 사용일수,"배달_브랜드 서비스 사용일수: 4분위수, 25%","배달_브랜드 서비스 사용일수: 4분위수, 50%","배달_브랜드 서비스 사용일수: 4분위수, 75%",배달_식재료 서비스 사용 미추정 인구수,배달_식재료 서비스 사용일수,"배달_식재료 서비스 사용일수: 4분위수, 25%","배달_식재료 서비스 사용일수: 4분위수, 50%","배달_식재료 서비스 사용일수: 4분위수, 75%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101053,종로구,사직동,2,75,368.53,125.98,0,958592.99,889333.33,1010266.67,1082200,0,315738.91,272833.33,324700,372800,354.36,5.21,3.33,5,5,365.38,1.67,1.67,1.67,1.67,366.96,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101054,종로구,삼청동,1,20,109,56.29,0,807621.41,722533.33,854666.67,944233.33,1,243796.91,182533.33,243700,297833.33,15,14.54,3.33,10,23.33,105,4.17,1.67,5,5,108,1.67,1.67,1.67,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101054,종로구,삼청동,1,25,80,40.26,4.44,640111.76,512666.67,608233.33,703566.67,4.44,205127.45,142766.67,217666.67,246133.33,4.44,15.29,5,13.33,21.67,71.11,3.33,1.67,1.67,5,80,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101054,종로구,삼청동,1,30,100,49.78,0,605028.89,431233.33,557533.33,751866.67,0,210362.22,134166.67,199966.67,264966.67,26.67,19.85,6.67,16.67,35,86.67,2.5,1.67,1.67,3.33,93.33,1.67,1.67,1.67,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101054,종로구,삼청동,1,35,99,45.65,0,663790,488066.67,690666.67,794433.33,4.95,229094.74,146800,202766.67,319866.67,24.75,14.44,5,11.67,18.33,64.35,1.9,1.67,1.67,1.67,94.05,1.67,1.67,1.67,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101054,종로구,삼청동,1,40,102,35.01,0,639280.49,437000,553600,820166.67,0,198677.24,139466.67,197166.67,241666.67,47.27,13.64,3.33,10,21.67,94.54,2.78,1.67,1.67,5,99.51,1.67,1.67,1.67,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101054,종로구,삼청동,1,45,110,34.42,0,476572,312566.67,439700,541600,0,141212,100700,122666.67,189200,30.8,11.2,5,8.33,15,105.6,1.67,1.67,1.67,1.67,110,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101054,종로구,삼청동,1,50,110,28.96,0,691737.5,475566.67,597633.33,986633.33,2.75,220317.09,134033.33,214233.33,309266.67,90.75,7.38,1.67,5,13.33,101.75,2.78,1.67,1.67,5,110,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101054,종로구,삼청동,1,55,113,31.13,0,629209.52,411933.33,593466.67,774233.33,0,194736.9,94666.67,191633.33,257933.33,104.93,2.5,1.67,1.67,3.33,100.89,2.78,1.67,1.67,5,113,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101054,종로구,삼청동,1,60,84,20.95,2.63,664719.35,486500,606900,888100,5.25,219548.89,134333.33,215000,271400,73.5,4.17,1.67,1.67,6.67,84,0,0,0,0,84,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
